invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5pct,sales,date,time,payment,cogs,gross_margin_percentage,gross_income,rating,year,month,day,weekday,sales_velocity,avg_transaction_value,profit_margin_pct,high_value_txn
273-16-6619,CAIRO,Mandalay,Member,Female,Home And Lifestyle,33.2,2,3.32,69.72,15-03-2019,12:20:00,Credit Card,66.4,4.761904762,3.32,4.4,2019,3,15,Friday,34.86,69.72,4.761904762,No
636-48-8204,ALEX,Yangon,Member,Female,Electronic Accessories,34.56,5,8.64,181.44,17-02-2019,11:15:00,Ewallet,172.8,4.761904762,8.64,9.9,2019,2,17,Sunday,36.288,181.44,4.761904762,No
549-59-1358,ALEX,Yangon,Member,Female,Sports And Travel,88.63,3,13.2945,279.1845,03-02-2019,17:36:00,Ewallet,265.89,4.761904762,13.2945,6,2019,2,3,Sunday,93.0615,279.1845,4.761904762,No
227-03-5010,ALEX,Yangon,Member,Female,Home And Lifestyle,52.59,8,21.036,441.756,22-03-2019,19:20:00,Credit Card,420.72,4.761904762,21.036,8.5,2019,3,22,Friday,55.2195,441.756,4.761904762,Yes
649-29-6775,CAIRO,Mandalay,Member,Female,Fashion Accessories,33.52,1,1.676,35.196,02-08-2019,15:31:00,Cash,33.52,4.761904762,1.676,6.7,2019,8,2,Friday,35.196,35.196,4.761904762,No
189-17-4241,ALEX,Yangon,Member,Female,Fashion Accessories,87.67,2,8.767,184.107,03-10-2019,12:17:00,Credit Card,175.34,4.761904762,8.767,7.7,2019,10,3,Thursday,92.0535,184.107,4.761904762,No
145-94-9061,CAIRO,Mandalay,Member,Female,Food And Beverages,88.36,5,22.09,463.89,25-01-2019,19:48:00,Cash,441.8,4.761904762,22.09,9.6,2019,1,25,Friday,92.778,463.89,4.761904762,Yes
848-62-7243,ALEX,Yangon,Member,Female,Health And Beauty,24.89,9,11.2005,235.2105,15-03-2019,15:36:00,Cash,224.01,4.761904762,11.2005,7.4,2019,3,15,Friday,26.1345,235.2105,4.761904762,No
871-79-8483,CAIRO,Mandalay,Member,Female,Fashion Accessories,94.13,5,23.5325,494.1825,25-02-2019,19:39:00,Credit Card,470.65,4.761904762,23.5325,4.8,2019,2,25,Monday,98.8365,494.1825,4.761904762,Yes
149-71-6266,CAIRO,Mandalay,Member,Female,Sports And Travel,78.07,9,35.1315,737.7615,28-01-2019,12:43:00,Cash,702.63,4.761904762,35.1315,4.5,2019,1,28,Monday,81.9735,737.7615,4.761904762,Yes
640-49-2076,CAIRO,Mandalay,Member,Female,Sports And Travel,83.78,8,33.512,703.752,01-10-2019,14:49:00,Cash,670.24,4.761904762,33.512,5.1,2019,10,1,Tuesday,87.969,703.752,4.761904762,Yes
595-11-5460,ALEX,Yangon,Member,Female,Health And Beauty,96.58,2,9.658,202.818,15-03-2019,10:12:00,Credit Card,193.16,4.761904762,9.658,5.1,2019,3,15,Friday,101.409,202.818,4.761904762,No
183-56-6882,GIZA,Naypyitaw,Member,Female,Food And Beverages,99.42,4,19.884,417.564,02-06-2019,10:42:00,Ewallet,397.68,4.761904762,19.884,7.5,2019,6,2,Sunday,104.391,417.564,4.761904762,Yes
232-16-2483,GIZA,Naypyitaw,Member,Female,Sports And Travel,68.12,1,3.406,71.526,01-07-2019,12:28:00,Ewallet,68.12,4.761904762,3.406,6.8,2019,7,1,Monday,71.526,71.526,4.761904762,No
129-29-8530,ALEX,Yangon,Member,Female,Sports And Travel,62.62,5,15.655,328.755,03-10-2019,19:15:00,Ewallet,313.1,4.761904762,15.655,7,2019,10,3,Thursday,65.751,328.755,4.761904762,Yes
272-65-1806,ALEX,Yangon,Member,Female,Electronic Accessories,60.88,9,27.396,575.316,15-01-2019,17:17:00,Ewallet,547.92,4.761904762,27.396,4.7,2019,1,15,Tuesday,63.924,575.316,4.761904762,Yes
333-73-7901,GIZA,Naypyitaw,Member,Female,Health And Beauty,54.92,8,21.968,461.328,23-03-2019,13:24:00,Ewallet,439.36,4.761904762,21.968,7.6,2019,3,23,Saturday,57.666,461.328,4.761904762,Yes
777-82-7220,CAIRO,Mandalay,Member,Female,Home And Lifestyle,30.12,8,12.048,253.008,03-03-2019,13:01:00,Cash,240.96,4.761904762,12.048,7.7,2019,3,3,Sunday,31.626,253.008,4.761904762,No
280-35-5823,CAIRO,Mandalay,Member,Female,Home And Lifestyle,86.72,1,4.336,91.056,17-01-2019,18:45:00,Ewallet,86.72,4.761904762,4.336,7.9,2019,1,17,Thursday,91.056,91.056,4.761904762,No
554-53-8700,GIZA,Naypyitaw,Member,Female,Home And Lifestyle,56.11,2,5.611,117.831,02-02-2019,10:11:00,Cash,112.22,4.761904762,5.611,6.3,2019,2,2,Saturday,58.9155,117.831,4.761904762,No
354-25-5821,CAIRO,Mandalay,Member,Female,Sports And Travel,69.12,6,20.736,435.456,02-08-2019,13:03:00,Cash,414.72,4.761904762,20.736,5.6,2019,8,2,Friday,72.576,435.456,4.761904762,Yes
228-96-1411,GIZA,Naypyitaw,Member,Female,Food And Beverages,98.7,8,39.48,829.08,03-04-2019,20:39:00,Cash,789.6,4.761904762,39.48,7.6,2019,4,3,Wednesday,103.635,829.08,4.761904762,Yes
617-15-4209,GIZA,Naypyitaw,Member,Female,Health And Beauty,15.37,2,1.537,32.277,16-03-2019,19:47:00,Cash,30.74,4.761904762,1.537,7.2,2019,3,16,Saturday,16.1385,32.277,4.761904762,No
132-32-9879,CAIRO,Mandalay,Member,Female,Electronic Accessories,93.96,4,18.792,394.632,03-09-2019,18:00:00,Cash,375.84,4.761904762,18.792,9.5,2019,9,3,Tuesday,98.658,394.632,4.761904762,Yes
370-41-7321,CAIRO,Mandalay,Member,Female,Health And Beauty,56.69,9,25.5105,535.7205,27-02-2019,17:24:00,Credit Card,510.21,4.761904762,25.5105,8.4,2019,2,27,Wednesday,59.5245,535.7205,4.761904762,Yes
727-46-3608,CAIRO,Mandalay,Member,Female,Food And Beverages,20.01,9,9.0045,189.0945,02-06-2019,15:47:00,Ewallet,180.09,4.761904762,9.0045,4.1,2019,6,2,Sunday,21.0105,189.0945,4.761904762,No
669-54-1719,CAIRO,Mandalay,Member,Female,Electronic Accessories,18.93,6,5.679,119.259,02-10-2019,12:45:00,Credit Card,113.58,4.761904762,5.679,8.1,2019,10,2,Wednesday,19.8765,119.259,4.761904762,No
574-22-5561,GIZA,Naypyitaw,Member,Female,Fashion Accessories,82.63,10,41.315,867.615,19-03-2019,17:08:00,Ewallet,826.3,4.761904762,41.315,7.9,2019,3,19,Tuesday,86.7615,867.615,4.761904762,Yes
326-78-5178,GIZA,Naypyitaw,Member,Female,Food And Beverages,91.4,7,31.99,671.79,02-03-2019,10:19:00,Cash,639.8,4.761904762,31.99,9.5,2019,3,2,Saturday,95.97,671.79,4.761904762,Yes
162-48-8011,ALEX,Yangon,Member,Female,Food And Beverages,44.59,5,11.1475,234.0975,02-10-2019,15:10:00,Cash,222.95,4.761904762,11.1475,8.5,2019,10,2,Wednesday,46.8195,234.0975,4.761904762,No
616-24-2851,CAIRO,Mandalay,Member,Female,Fashion Accessories,17.87,4,3.574,75.054,22-03-2019,14:42:00,Ewallet,71.48,4.761904762,3.574,6.5,2019,3,22,Friday,18.7635,75.054,4.761904762,No
778-71-5554,GIZA,Naypyitaw,Member,Female,Fashion Accessories,15.43,1,0.7715,16.2015,25-01-2019,15:46:00,Credit Card,15.43,4.761904762,0.7715,6.1,2019,1,25,Friday,16.2015,16.2015,4.761904762,No
242-55-6721,CAIRO,Mandalay,Member,Female,Home And Lifestyle,16.16,2,1.616,33.936,03-07-2019,11:49:00,Ewallet,32.32,4.761904762,1.616,6.5,2019,7,3,Wednesday,16.968,33.936,4.761904762,No
399-46-5918,GIZA,Naypyitaw,Member,Female,Electronic Accessories,85.98,8,34.392,722.232,28-02-2019,19:01:00,Cash,687.84,4.761904762,34.392,8.2,2019,2,28,Thursday,90.279,722.232,4.761904762,Yes
106-35-6779,ALEX,Yangon,Member,Female,Home And Lifestyle,44.34,2,4.434,93.114,27-03-2019,11:26:00,Cash,88.68,4.761904762,4.434,5.8,2019,3,27,Wednesday,46.557,93.114,4.761904762,No
635-40-6220,ALEX,Yangon,Member,Female,Health And Beauty,89.6,8,35.84,752.64,02-07-2019,11:28:00,Ewallet,716.8,4.761904762,35.84,6.6,2019,7,2,Tuesday,94.08,752.64,4.761904762,Yes
817-48-8732,ALEX,Yangon,Member,Female,Home And Lifestyle,72.35,10,36.175,759.675,20-01-2019,15:55:00,Cash,723.5,4.761904762,36.175,5.4,2019,1,20,Sunday,75.9675,759.675,4.761904762,Yes
120-06-4233,GIZA,Naypyitaw,Member,Female,Electronic Accessories,30.61,6,9.183,192.843,03-12-2019,20:36:00,Cash,183.66,4.761904762,9.183,9.3,2019,12,3,Tuesday,32.1405,192.843,4.761904762,No
285-68-5083,GIZA,Naypyitaw,Member,Female,Sports And Travel,24.74,3,3.711,77.931,15-02-2019,17:47:00,Credit Card,74.22,4.761904762,3.711,10,2019,2,15,Friday,25.977,77.931,4.761904762,No
803-83-5989,GIZA,Naypyitaw,Member,Female,Home And Lifestyle,55.73,6,16.719,351.099,24-02-2019,10:55:00,Ewallet,334.38,4.761904762,16.719,7,2019,2,24,Sunday,58.5165,351.099,4.761904762,Yes
347-34-2234,CAIRO,Mandalay,Member,Female,Sports And Travel,55.07,9,24.7815,520.4115,02-03-2019,13:40:00,Ewallet,495.63,4.761904762,24.7815,10,2019,3,2,Saturday,57.8235,520.4115,4.761904762,Yes
199-75-8169,ALEX,Yangon,Member,Female,Sports And Travel,15.81,10,7.905,166.005,03-06-2019,12:27:00,Credit Card,158.1,4.761904762,7.905,8.6,2019,6,3,Monday,16.6005,166.005,4.761904762,No
853-23-2453,CAIRO,Mandalay,Member,Female,Health And Beauty,75.74,4,15.148,318.108,14-02-2019,14:35:00,Cash,302.96,4.761904762,15.148,7.6,2019,2,14,Thursday,79.527,318.108,4.761904762,No
877-22-3308,ALEX,Yangon,Member,Female,Health And Beauty,15.87,10,7.935,166.635,13-03-2019,16:40:00,Cash,158.7,4.761904762,7.935,5.8,2019,3,13,Wednesday,16.6635,166.635,4.761904762,No
838-78-4295,GIZA,Naypyitaw,Member,Female,Health And Beauty,33.47,2,3.347,70.287,02-10-2019,15:43:00,Ewallet,66.94,4.761904762,3.347,6.7,2019,10,2,Wednesday,35.1435,70.287,4.761904762,No
109-28-2512,CAIRO,Mandalay,Member,Female,Fashion Accessories,97.61,6,29.283,614.943,01-07-2019,15:01:00,Ewallet,585.66,4.761904762,29.283,9.9,2019,7,1,Monday,102.4905,614.943,4.761904762,Yes
232-11-3025,ALEX,Yangon,Member,Female,Sports And Travel,78.77,10,39.385,827.085,24-01-2019,10:04:00,Cash,787.7,4.761904762,39.385,6.4,2019,1,24,Thursday,82.7085,827.085,4.761904762,Yes
382-03-4532,ALEX,Yangon,Member,Female,Health And Beauty,18.33,1,0.9165,19.2465,02-02-2019,18:50:00,Cash,18.33,4.761904762,0.9165,4.3,2019,2,2,Saturday,19.2465,19.2465,4.761904762,No
393-65-2792,GIZA,Naypyitaw,Member,Female,Food And Beverages,89.48,10,44.74,939.54,01-06-2019,12:46:00,Credit Card,894.8,4.761904762,44.74,9.6,2019,6,1,Saturday,93.954,939.54,4.761904762,Yes
796-12-2025,GIZA,Naypyitaw,Member,Female,Fashion Accessories,62.12,10,31.06,652.26,02-11-2019,16:19:00,Cash,621.2,4.761904762,31.06,5.9,2019,11,2,Saturday,65.226,652.26,4.761904762,Yes
510-95-6347,CAIRO,Mandalay,Member,Female,Food And Beverages,48.52,3,7.278,152.838,03-05-2019,18:17:00,Ewallet,145.56,4.761904762,7.278,4,2019,5,3,Friday,50.946,152.838,4.761904762,No
841-35-6630,GIZA,Naypyitaw,Member,Female,Electronic Accessories,75.91,6,22.773,478.233,03-09-2019,18:21:00,Cash,455.46,4.761904762,22.773,8.7,2019,9,3,Tuesday,79.7055,478.233,4.761904762,Yes
287-21-9091,ALEX,Yangon,Member,Female,Home And Lifestyle,74.67,9,33.6015,705.6315,22-01-2019,10:55:00,Ewallet,672.03,4.761904762,33.6015,9.4,2019,1,22,Tuesday,78.4035,705.6315,4.761904762,Yes
732-94-0499,GIZA,Naypyitaw,Member,Female,Electronic Accessories,41.65,10,20.825,437.325,13-01-2019,17:04:00,Credit Card,416.5,4.761904762,20.825,5.4,2019,1,13,Sunday,43.7325,437.325,4.761904762,Yes
263-10-3913,GIZA,Naypyitaw,Member,Female,Fashion Accessories,49.04,9,22.068,463.428,01-09-2019,14:20:00,Credit Card,441.36,4.761904762,22.068,8.6,2019,9,1,Sunday,51.492,463.428,4.761904762,Yes
381-20-0914,ALEX,Yangon,Member,Female,Fashion Accessories,20.01,9,9.0045,189.0945,01-12-2019,15:48:00,Credit Card,180.09,4.761904762,9.0045,5.7,2019,12,1,Sunday,21.0105,189.0945,4.761904762,No
829-49-1914,GIZA,Naypyitaw,Member,Female,Food And Beverages,78.31,10,39.155,822.255,03-05-2019,16:24:00,Ewallet,783.1,4.761904762,39.155,6.6,2019,5,3,Friday,82.2255,822.255,4.761904762,Yes
756-01-7507,GIZA,Naypyitaw,Member,Female,Health And Beauty,20.38,5,5.095,106.995,22-01-2019,18:56:00,Cash,101.9,4.761904762,5.095,6,2019,1,22,Tuesday,21.399,106.995,4.761904762,No
870-72-4431,GIZA,Naypyitaw,Member,Female,Health And Beauty,99.19,6,29.757,624.897,21-01-2019,14:42:00,Credit Card,595.14,4.761904762,29.757,5.5,2019,1,21,Monday,104.1495,624.897,4.761904762,Yes
847-38-7188,CAIRO,Mandalay,Member,Female,Food And Beverages,96.68,3,14.502,304.542,26-01-2019,19:56:00,Ewallet,290.04,4.761904762,14.502,6.4,2019,1,26,Saturday,101.514,304.542,4.761904762,No
480-63-2856,GIZA,Naypyitaw,Member,Female,Food And Beverages,19.25,8,7.7,161.7,23-01-2019,18:37:00,Ewallet,154,4.761904762,7.7,6.6,2019,1,23,Wednesday,20.2125,161.7,4.761904762,No
787-56-0757,GIZA,Naypyitaw,Member,Female,Food And Beverages,80.36,4,16.072,337.512,23-02-2019,18:45:00,Credit Card,321.44,4.761904762,16.072,8.3,2019,2,23,Saturday,84.378,337.512,4.761904762,Yes
360-39-5055,GIZA,Naypyitaw,Member,Female,Sports And Travel,48.91,5,12.2275,256.7775,03-09-2019,10:17:00,Cash,244.55,4.761904762,12.2275,6.6,2019,9,3,Tuesday,51.3555,256.7775,4.761904762,No
730-50-9884,GIZA,Naypyitaw,Member,Female,Sports And Travel,83.06,7,29.071,610.491,03-05-2019,14:31:00,Ewallet,581.42,4.761904762,29.071,4,2019,5,3,Friday,87.213,610.491,4.761904762,Yes
362-58-8315,GIZA,Naypyitaw,Member,Female,Fashion Accessories,76.52,5,19.13,401.73,25-03-2019,10:23:00,Cash,382.6,4.761904762,19.13,9.9,2019,3,25,Monday,80.346,401.73,4.761904762,Yes
633-44-8566,ALEX,Yangon,Member,Female,Food And Beverages,49.38,7,17.283,362.943,27-03-2019,20:35:00,Credit Card,345.66,4.761904762,17.283,7.3,2019,3,27,Wednesday,51.849,362.943,4.761904762,Yes
504-35-8843,ALEX,Yangon,Member,Female,Sports And Travel,42.47,1,2.1235,44.5935,01-02-2019,16:57:00,Cash,42.47,4.761904762,2.1235,5.7,2019,2,1,Friday,44.5935,44.5935,4.761904762,No
318-68-5053,CAIRO,Mandalay,Member,Female,Health And Beauty,76.99,6,23.097,485.037,27-02-2019,17:55:00,Cash,461.94,4.761904762,23.097,6.1,2019,2,27,Wednesday,80.8395,485.037,4.761904762,Yes
565-80-5980,GIZA,Naypyitaw,Member,Female,Home And Lifestyle,47.38,4,9.476,198.996,23-01-2019,10:25:00,Cash,189.52,4.761904762,9.476,7.1,2019,1,23,Wednesday,49.749,198.996,4.761904762,No
225-32-0908,GIZA,Naypyitaw,Member,Female,Sports And Travel,44.86,10,22.43,471.03,26-01-2019,19:54:00,Ewallet,448.6,4.761904762,22.43,8.2,2019,1,26,Saturday,47.103,471.03,4.761904762,Yes
873-51-0671,ALEX,Yangon,Member,Female,Sports And Travel,21.98,7,7.693,161.553,01-10-2019,16:42:00,Ewallet,153.86,4.761904762,7.693,5.1,2019,10,1,Tuesday,23.079,161.553,4.761904762,No
152-08-9985,CAIRO,Mandalay,Member,Female,Health And Beauty,64.36,9,28.962,608.202,03-12-2019,12:09:00,Credit Card,579.24,4.761904762,28.962,8.6,2019,12,3,Tuesday,67.578,608.202,4.761904762,Yes
512-91-0811,GIZA,Naypyitaw,Member,Female,Health And Beauty,89.75,1,4.4875,94.2375,02-06-2019,20:05:00,Credit Card,89.75,4.761904762,4.4875,6.6,2019,6,2,Sunday,94.2375,94.2375,4.761904762,No
594-34-4444,ALEX,Yangon,Member,Female,Electronic Accessories,97.16,1,4.858,102.018,03-08-2019,20:38:00,Ewallet,97.16,4.761904762,4.858,7.2,2019,8,3,Saturday,102.018,102.018,4.761904762,No
766-85-7061,CAIRO,Mandalay,Member,Female,Health And Beauty,87.87,10,43.935,922.635,29-03-2019,10:25:00,Ewallet,878.7,4.761904762,43.935,5.1,2019,3,29,Friday,92.2635,922.635,4.761904762,Yes
871-39-9221,GIZA,Naypyitaw,Member,Female,Electronic Accessories,12.45,6,3.735,78.435,02-09-2019,13:11:00,Cash,74.7,4.761904762,3.735,4.1,2019,9,2,Monday,13.0725,78.435,4.761904762,No
865-92-6136,ALEX,Yangon,Member,Female,Food And Beverages,52.75,3,7.9125,166.1625,23-03-2019,10:16:00,Ewallet,158.25,4.761904762,7.9125,9.3,2019,3,23,Saturday,55.3875,166.1625,4.761904762,No
733-01-9107,CAIRO,Mandalay,Member,Female,Home And Lifestyle,82.7,6,24.81,521.01,03-05-2019,18:14:00,Cash,496.2,4.761904762,24.81,7.4,2019,5,3,Friday,86.835,521.01,4.761904762,Yes
163-56-7055,GIZA,Naypyitaw,Member,Female,Fashion Accessories,48.71,1,2.4355,51.1455,26-03-2019,19:20:00,Cash,48.71,4.761904762,2.4355,4.1,2019,3,26,Tuesday,51.1455,51.1455,4.761904762,No
189-98-2939,GIZA,Naypyitaw,Member,Female,Fashion Accessories,78.55,9,35.3475,742.2975,03-01-2019,13:22:00,Cash,706.95,4.761904762,35.3475,7.2,2019,1,3,Thursday,82.4775,742.2975,4.761904762,Yes
551-21-3069,GIZA,Naypyitaw,Member,Female,Electronic Accessories,23.07,9,10.3815,218.0115,02-01-2019,11:27:00,Cash,207.63,4.761904762,10.3815,4.9,2019,1,2,Wednesday,24.2235,218.0115,4.761904762,No
212-62-1842,ALEX,Yangon,Member,Female,Food And Beverages,58.26,6,17.478,367.038,28-03-2019,16:44:00,Cash,349.56,4.761904762,17.478,9.9,2019,3,28,Thursday,61.173,367.038,4.761904762,Yes
716-39-1409,CAIRO,Mandalay,Member,Female,Health And Beauty,30.35,7,10.6225,223.0725,19-03-2019,18:19:00,Cash,212.45,4.761904762,10.6225,8,2019,3,19,Tuesday,31.8675,223.0725,4.761904762,No
704-48-3927,ALEX,Yangon,Member,Female,Electronic Accessories,88.67,10,44.335,931.035,01-12-2019,14:50:00,Ewallet,886.7,4.761904762,44.335,7.3,2019,12,1,Sunday,93.1035,931.035,4.761904762,Yes
628-34-3388,GIZA,Naypyitaw,Member,Female,Fashion Accessories,27.38,6,8.214,172.494,01-05-2019,20:54:00,Credit Card,164.28,4.761904762,8.214,7.9,2019,5,1,Wednesday,28.749,172.494,4.761904762,No
630-74-5166,ALEX,Yangon,Member,Female,Sports And Travel,62.13,6,18.639,391.419,22-03-2019,20:19:00,Cash,372.78,4.761904762,18.639,7.4,2019,3,22,Friday,65.2365,391.419,4.761904762,Yes
588-01-7461,GIZA,Naypyitaw,Member,Female,Food And Beverages,33.98,9,15.291,321.111,24-03-2019,10:43:00,Cash,305.82,4.761904762,15.291,4.2,2019,3,24,Sunday,35.679,321.111,4.761904762,No
861-77-0145,GIZA,Naypyitaw,Member,Female,Electronic Accessories,81.97,10,40.985,860.685,03-03-2019,14:30:00,Cash,819.7,4.761904762,40.985,9.2,2019,3,3,Sunday,86.0685,860.685,4.761904762,Yes
479-26-8945,CAIRO,Mandalay,Member,Female,Sports And Travel,16.49,2,1.649,34.629,02-05-2019,11:32:00,Ewallet,32.98,4.761904762,1.649,4.6,2019,5,2,Thursday,17.3145,34.629,4.761904762,No
210-67-5886,GIZA,Naypyitaw,Member,Female,Health And Beauty,98.21,3,14.7315,309.3615,02-05-2019,10:41:00,Credit Card,294.63,4.761904762,14.7315,7.8,2019,5,2,Thursday,103.1205,309.3615,4.761904762,No
227-78-1148,CAIRO,Mandalay,Member,Female,Fashion Accessories,72.84,7,25.494,535.374,15-02-2019,12:44:00,Cash,509.88,4.761904762,25.494,8.4,2019,2,15,Friday,76.482,535.374,4.761904762,Yes
645-44-1170,ALEX,Yangon,Member,Female,Home And Lifestyle,58.07,9,26.1315,548.7615,19-01-2019,20:07:00,Ewallet,522.63,4.761904762,26.1315,4.3,2019,1,19,Saturday,60.9735,548.7615,4.761904762,Yes
237-01-6122,GIZA,Naypyitaw,Member,Female,Home And Lifestyle,80.79,9,36.3555,763.4655,02-01-2019,20:31:00,Credit Card,727.11,4.761904762,36.3555,9.5,2019,1,2,Wednesday,84.8295,763.4655,4.761904762,Yes
225-98-1496,GIZA,Naypyitaw,Member,Female,Fashion Accessories,27.02,3,4.053,85.113,03-02-2019,13:01:00,Credit Card,81.06,4.761904762,4.053,7.1,2019,2,3,Sunday,28.371,85.113,4.761904762,No
291-32-1427,CAIRO,Mandalay,Member,Female,Fashion Accessories,21.94,5,5.485,115.185,03-05-2019,12:29:00,Ewallet,109.7,4.761904762,5.485,5.3,2019,5,3,Friday,23.037,115.185,4.761904762,No
659-65-8956,CAIRO,Mandalay,Member,Female,Fashion Accessories,51.36,1,2.568,53.928,16-01-2019,15:26:00,Ewallet,51.36,4.761904762,2.568,5.2,2019,1,16,Wednesday,53.928,53.928,4.761904762,No
642-32-2990,ALEX,Yangon,Member,Female,Food And Beverages,10.96,10,5.48,115.08,02-02-2019,20:48:00,Ewallet,109.6,4.761904762,5.48,6,2019,2,2,Saturday,11.508,115.08,4.761904762,No
378-24-2715,CAIRO,Mandalay,Member,Female,Home And Lifestyle,53.44,2,5.344,112.224,20-01-2019,20:38:00,Ewallet,106.88,4.761904762,5.344,4.1,2019,1,20,Sunday,56.112,112.224,4.761904762,No
